pl_name,hostname,discoverymethod,disc_year,disc_facility,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,sy_dist,st_teff,st_rad,st_mass,decade,earth_radius_class,orbital_period_class,distance_class_pc,disc_year_int
Kepler-172 b,Kepler-172,Transit,2014.0,Kepler,2.35,6.12,2.940309,0.04,828.592,5526.0,1.085,1.081,2010,Neptune-like 2–6,<3 days,"500–1,000 pc",2014
Kepler-172 c,Kepler-172,Transit,2014.0,Kepler,2.86,8.55,6.388996,0.068,828.592,5526.0,1.085,1.081,2010,Neptune-like 2–6,3–10 days,"500–1,000 pc",2014
Kepler-172 d,Kepler-172,Transit,2014.0,Kepler,2.25,5.69,14.627119,0.118,828.592,5526.0,1.085,1.081,2010,Neptune-like 2–6,10–50 days,"500–1,000 pc",2014
Kepler-172 e,Kepler-172,Transit,2014.0,Kepler,2.76,8.05,35.118736,0.211,828.592,5526.0,1.085,1.081,2010,Neptune-like 2–6,10–50 days,"500–1,000 pc",2014
Kepler-1720 b,Kepler-1720,Transit,2021.0,Kepler,3.21585295,10.4,12.70639992,0.1043,629.445,5573.0,0.839,0.939,2020,Neptune-like 2–6,10–50 days,"500–1,000 pc",2021
Kepler-1721 b,Kepler-1721,Transit,2021.0,Kepler,3.11856756,9.9,4.592380047,0.0519,641.374,5351.0,0.796,0.89,2020,Neptune-like 2–6,3–10 days,"500–1,000 pc",2021
Kepler-1722 b,Kepler-1722,Transit,2021.0,Kepler,2.86719266,8.58,9.178569794,0.0819,772.283,5506.0,0.788,0.876,2020,Neptune-like 2–6,3–10 days,"500–1,000 pc",2021
Kepler-1723 b,Kepler-1723,Transit,2021.0,Kepler,2.88046569,8.65,39.75289917,0.2249,811.278,6072.0,1.01,0.96,2020,Neptune-like 2–6,10–50 days,"500–1,000 pc",2021
Kepler-1724 b,Kepler-1724,Transit,2021.0,Kepler,2.83677238,8.43,6.45442009,0.0683,1060.77,6092.0,0.943,1.016,2020,Neptune-like 2–6,3–10 days,"1,000–5,000 pc",2021
Kepler-1725 b,Kepler-1725,Transit,2021.0,Kepler,2.8125177,8.31,16.71990013,0.13263,558.652,6020.0,1.085,1.049,2020,Neptune-like 2–6,10–50 days,"500–1,000 pc",2021
