pl_name,hostname,discoverymethod,disc_year,disc_facility,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,sy_dist,st_teff,st_rad,st_mass,decade,earth_radius_class,orbital_period_class,distance_class_pc,disc_year_int
11 Com b,11 Com,Radial Velocity,2007.0,Xinglong Station,12.2,4914.89848585,323.21,1.178,93.1846,4874.0,13.76,2.09,2000,Gas giant 6–15,50–365 days,50–100 pc,2007
11 UMi b,11 UMi,Radial Velocity,2009.0,Thueringer Landessternwarte Tautenburg,12.3,4684.8142,516.21997,1.53,125.321,4213.0,29.79,2.78,2000,Gas giant 6–15,1–10 years,100–500 pc,2009
14 And b,14 And,Radial Velocity,2008.0,Okayama Astrophysical Observatory,13.1,1131.15130051,186.76,0.775,75.4392,4888.0,11.55,1.78,2000,Gas giant 6–15,50–365 days,50–100 pc,2008
14 Her b,14 Her,Radial Velocity,2002.0,W. M. Keck Observatory,12.5,2828.6728223,1766.41,2.839,17.9323,5338.0,0.93,0.97,2000,Gas giant 6–15,1–10 years,10–50 pc,2002
16 Cyg B b,16 Cyg B,Radial Velocity,1996.0,Multiple Observatories,13.5,565.7374,798.5,1.66,21.1397,5750.0,1.13,1.08,1990,Gas giant 6–15,1–10 years,10–50 pc,1996
17 Sco b,17 Sco,Radial Velocity,2020.0,Lick Observatory,12.9,1373.01871824,578.38,1.45,124.953,4157.0,25.92,1.22,2020,Gas giant 6–15,1–10 years,100–500 pc,2020
18 Del b,18 Del,Radial Velocity,2008.0,Okayama Astrophysical Observatory,12.5,2926.24614325,982.85,2.476,76.222,4980.0,8.8,2.1,2000,Gas giant 6–15,1–10 years,50–100 pc,2008
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008.0,Gemini Observatory,18.647,3000.0,,330.0,139.135,4060.0,1.31316,0.85,2000,>15 Earth radii,Unknown,100–500 pc,2008
24 Boo b,24 Boo,Radial Velocity,2018.0,Okayama Astrophysical Observatory,13.9,280.64248338,30.33,0.194,95.9863,4816.0,12.19,1.05,2010,Gas giant 6–15,10–50 days,50–100 pc,2018
24 Sex b,24 Sex,Radial Velocity,2010.0,Lick Observatory,13.4,632.46,452.8,1.333,72.0691,5098.0,4.9,1.54,2010,Gas giant 6–15,1–10 years,50–100 pc,2010
24 Sex c,24 Sex,Radial Velocity,2010.0,Lick Observatory,13.9,273.32,883.0,2.08,72.0691,5098.0,4.9,1.54,2010,Gas giant 6–15,1–10 years,50–100 pc,2010
2M0437 b,2MASS J04372171+2651014,Imaging,2021.0,Subaru Telescope,13.0,1271.313628,,118.0,128.484,3100.0,0.84,0.17,2020,Gas giant 6–15,Unknown,100–500 pc,2021
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013.0,Paranal Observatory,12.3,4131.79,,84.0,47.2,,,0.19,2010,Gas giant 6–15,Unknown,10–50 pc,2013
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013.0,W. M. Keck Observatory,11.209,7786.5,,52.0,33.8281,3530.0,0.36645,0.4,2010,Gas giant 6–15,Unknown,10–50 pc,2013
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015.0,Cerro Tololo Inter-American Observatory,16.14096,4417.837,,156.0,40.08964117,3064.0,0.281,0.108,2010,>15 Earth radii,Unknown,10–50 pc,2015
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,2018.0,Mauna Kea Observatory,17.37392009,3616.88727166,,1950.0,66.0613,2859.0,0.315959,0.046,2010,>15 Earth radii,Unknown,50–100 pc,2018
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,12.2,5720.911326,,572.0,117.435,2943.0,0.289776,0.264996,2020,Gas giant 6–15,Unknown,100–500 pc,2024
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010.0,Hubble Space Telescope,12.6,2383.6,,15.0,120.42398696,2936.0,0.231916,0.019,2010,Gas giant 6–15,Unknown,100–500 pc,2010
2MASS J11011926-7732383 b,2MASS J11011926-7732383,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,11.9,8899.195396,,266.0,,,,,2020,Gas giant 6–15,Unknown,Unknown,2024
2MASS J11550485-7919108 b,2MASS J11550485-7919108,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,12.1,6356.56814,,587.0,100.862,3021.0,0.600455,0.58846,2020,Gas giant 6–15,Unknown,100–500 pc,2024
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004.0,Paranal Observatory,15.69257298,1652.7077164,,46.0,64.308,2825.0,0.21887,0.188001,2000,>15 Earth radii,Unknown,50–100 pc,2004
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015.0,Kepler,13.4,603.877,406.0,0.92,396.332,29564.0,0.203,0.48,2010,Gas giant 6–15,1–10 years,100–500 pc,2015
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,2024.0,European Space Agency (ESA) Gaia Satellite,12.4,3813.940884,,7493.0,34.1154,3592.0,0.672832,0.643977,2020,Gas giant 6–15,Unknown,10–50 pc,2024
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016.0,W. M. Keck Observatory,12.3,3972.875,,230.0,69.5737,4045.0,0.641152,0.6,2010,Gas giant 6–15,Unknown,50–100 pc,2016
2MASS J22501512+2325342 b,2MASS J22501512+2325342,Imaging,2018.0,The 2 (Two) Micron All Sky Survey (2MASS),11.9,9534.85221,,518.0,57.2309,3352.0,0.437589,0.433173,2010,Gas giant 6–15,Unknown,50–100 pc,2018
4 UMa b,4 UMa,Radial Velocity,2006.0,Thueringer Landessternwarte Tautenburg,12.6,2511.48007211,270.27,0.877,73.4603,4415.0,18.11,1.234,2000,Gas giant 6–15,50–365 days,50–100 pc,2006
47 UMa b,47 UMa,Radial Velocity,1996.0,Lick Observatory,13.2,804.08,1078.0,2.1,13.7967,5872.0,1.21334,1.06,1990,Gas giant 6–15,1–10 years,10–50 pc,1996
47 UMa c,47 UMa,Radial Velocity,2001.0,Lick Observatory,14.2,171.621,2391.0,3.6,13.7967,5872.0,1.21334,1.06,2000,Gas giant 6–15,1–10 years,10–50 pc,2001
47 UMa d,47 UMa,Radial Velocity,2009.0,Lick Observatory,13.5,521.22,14002.0,11.6,13.7967,5872.0,1.21334,1.06,2000,Gas giant 6–15,>10 years,10–50 pc,2009
51 Eri b,51 Eri,Imaging,2015.0,Gemini Observatory,,3464.3296363,9100.0,10.4,29.7575,7422.0,1.45,1.75,2010,Unknown,>10 years,10–50 pc,2015
51 Peg b,51 Peg,Radial Velocity,1995.0,Haute-Provence Observatory,14.3,146.2018,4.230785,0.0527,15.4614,5758.0,1.17561,1.03,1990,Gas giant 6–15,3–10 days,10–50 pc,1995
55 Cnc B b,55 Cnc B,Radial Velocity,2025.0,Mauna Kea Observatory,1.69,3.5,6.7994,0.044,12.4773,3286.0,0.274,0.26,2020,Super-Earth 1.25–2,3–10 days,10–50 pc,2025
55 Cnc B c,55 Cnc B,Radial Velocity,2025.0,Mauna Kea Observatory,2.16,5.3,33.747,0.13,12.4773,3286.0,0.274,0.26,2020,Neptune-like 2–6,10–50 days,10–50 pc,2025
55 Cnc b,55 Cnc,Radial Velocity,1996.0,Lick Observatory,13.9,263.9785,14.651552,0.118,12.5855,5198.0,0.98,1.015,1990,Gas giant 6–15,10–50 days,10–50 pc,1996
55 Cnc c,55 Cnc,Radial Velocity,2004.0,McDonald Observatory,8.51,54.4738,44.3936,0.247,12.5855,5198.0,0.98,1.015,2000,Gas giant 6–15,10–50 days,10–50 pc,2004
55 Cnc d,55 Cnc,Radial Velocity,2002.0,Lick Observatory,13.0,1232.493,4799.0,5.6,12.5855,5198.0,0.98,1.015,2000,Gas giant 6–15,>10 years,10–50 pc,2002
55 Cnc e,55 Cnc,Radial Velocity,2004.0,McDonald Observatory,1.875,7.99,0.7365474,0.01544,12.5855,5172.0,0.943,0.905,2000,Super-Earth 1.25–2,<3 days,10–50 pc,2004
55 Cnc f,55 Cnc,Radial Velocity,2007.0,Multiple Observatories,7.59,44.812,260.58,0.802,12.5855,5198.0,0.98,1.015,2000,Gas giant 6–15,50–365 days,10–50 pc,2007
6 Lyn b,6 Lyn,Radial Velocity,2008.0,Okayama Astrophysical Observatory,13.4,597.83523357,919.86,2.028,54.6599,4941.0,4.94,1.32,2000,Gas giant 6–15,1–10 years,50–100 pc,2008
61 Vir b,61 Vir,Radial Velocity,2009.0,Multiple Observatories,2.11,5.1,4.215,0.050201,8.50332,5577.0,0.963,0.942,2000,Neptune-like 2–6,3–10 days,<10 pc,2009
61 Vir c,61 Vir,Radial Velocity,2009.0,Multiple Observatories,4.46,18.2,38.021,0.2175,8.50332,5577.0,0.963,0.942,2000,Neptune-like 2–6,10–50 days,<10 pc,2009
61 Vir d,61 Vir,Radial Velocity,2009.0,Multiple Observatories,5.11,22.9,123.01,0.476,8.50332,5577.0,0.963,0.942,2000,Neptune-like 2–6,50–365 days,<10 pc,2009
7 CMa b,7 CMa,Radial Velocity,2011.0,Anglo-Australian Telescope,13.4,587.9855,735.1,1.758,19.8101,4826.0,4.87,1.34,2010,Gas giant 6–15,1–10 years,10–50 pc,2011
7 CMa c,7 CMa,Radial Velocity,2019.0,Multiple Observatories,13.9,276.5121,996.0,2.153,19.8101,4826.0,4.87,1.34,2010,Gas giant 6–15,1–10 years,10–50 pc,2019
70 Vir b,70 Vir,Radial Velocity,1996.0,Lick Observatory,12.6,2380.45,116.688,0.481,17.9011,5495.0,1.89,1.09,1990,Gas giant 6–15,50–365 days,10–50 pc,1996
75 Cet b,75 Cet,Radial Velocity,2012.0,Okayama Astrophysical Observatory,13.3,787.89662095,696.62,1.912,82.9613,4809.0,10.38,1.92,2010,Gas giant 6–15,1–10 years,50–100 pc,2012
75 Cet c,75 Cet,Radial Velocity,2023.0,Okayama Astrophysical Observatory,13.9,289.85950718,2051.62,3.929,82.9613,4809.0,10.38,1.92,2020,Gas giant 6–15,1–10 years,50–100 pc,2023
8 UMi b,8 UMi,Radial Velocity,2015.0,Bohyunsan Optical Astronomical Observatory,13.5,524.41687155,93.31,0.462,162.552,4847.0,10.73,1.51,2010,Gas giant 6–15,50–365 days,100–500 pc,2015
81 Cet b,81 Cet,Radial Velocity,2008.0,Okayama Astrophysical Observatory,13.1,1051.05854195,1005.57,2.104,101.26,4734.0,11.21,1.23,2000,Gas giant 6–15,1–10 years,100–500 pc,2008
91 Aqr b,91 Aqr,Radial Velocity,2013.0,Lick Observatory,13.1,1017.0,181.4,0.7,44.0304,4665.0,11.0,1.4,2010,Gas giant 6–15,50–365 days,10–50 pc,2013
AB Aur b,AB Aur,Imaging,2022.0,Subaru Telescope,12.5,2860.455663,,93.9,162.127,9770.0,2.95887,2.4,2020,Gas giant 6–15,Unknown,100–500 pc,2022
AB Pic b,AB Pic,Imaging,2005.0,Paranal Observatory,12.3,4290.5,,260.0,50.0475,5285.0,0.999394,0.9,2000,Gas giant 6–15,Unknown,50–100 pc,2005
AF Lep b,AF Lep,Imaging,2023.0,Paranal Observatory,13.0,1147.36054927,8905.0,8.996,26.8564,6140.0,1.25,1.218,2020,Gas giant 6–15,>10 years,10–50 pc,2023
AT2021ueyL b,AT2021ueyL,Microlensing,2025.0,Multiple Observatories,13.6,425.89006538,4168.69,4.01,1040.0,3680.0,,0.49,2020,Gas giant 6–15,>10 years,"1,000–5,000 pc",2025
AU Mic b,AU Mic,Transit,2020.0,Transiting Exoplanet Survey Satellite (TESS),4.79,8.99,8.463446,0.07,9.7221,3540.0,0.862,0.635,2020,Neptune-like 2–6,3–10 days,<10 pc,2020
AU Mic c,AU Mic,Transit,2021.0,Transiting Exoplanet Survey Satellite (TESS),2.79,14.46,18.859023,0.119,9.7221,3540.0,0.862,0.635,2020,Neptune-like 2–6,10–50 days,<10 pc,2021
AU Mic d,AU Mic,Transit Timing Variations,2023.0,Multiple Observatories,1.02,1.053,12.73596,,9.7221,3678.0,0.744,0.51,2020,Earth-size 0.5–1.25,10–50 days,<10 pc,2023
AU Mic e,AU Mic,Radial Velocity,2025.0,Mauna Kea Observatory,4.87,21.1,33.11,,9.7221,3665.0,0.82,0.6,2020,Neptune-like 2–6,10–50 days,<10 pc,2025
BD+03 2562 b,BD+03 2562,Radial Velocity,2017.0,Multiple Observatories,12.7,2034.112,481.9,1.3,1070.63,4095.0,32.35,1.14,2010,Gas giant 6–15,1–10 years,"1,000–5,000 pc",2017
BD+05 4868 A b,BD+05 4868 A,Transit,2025.0,Transiting Exoplanet Survey Satellite (TESS),,6.2,1.271869,0.0208,43.5687,4596.0,0.69,0.7,2020,Unknown,<3 days,10–50 pc,2025
BD+14 4559 b,BD+14 4559,Radial Velocity,2009.0,McDonald Observatory,13.8,330.5432,268.94,0.78,49.352,4864.0,0.86,0.49,2000,Gas giant 6–15,50–365 days,10–50 pc,2009
BD+15 2375 b,BD+15 2375,Radial Velocity,2016.0,Roque de los Muchachos Observatory,13.8,337.21763,153.22,0.576,768.045,4649.0,8.95,1.08,2010,Gas giant 6–15,50–365 days,"500–1,000 pc",2016
BD+15 2940 b,BD+15 2940,Radial Velocity,2013.0,McDonald Observatory,13.7,352.78,137.48,0.539,426.42,4796.0,14.7,1.1,2010,Gas giant 6–15,50–365 days,100–500 pc,2013
BD+20 2457 b,BD+20 2457,Radial Velocity,2009.0,McDonald Observatory,12.1,6807.63,379.63,1.45,1539.71,4137.0,49.0,2.8,2000,Gas giant 6–15,1–10 years,"1,000–5,000 pc",2009
BD+20 2457 c,BD+20 2457,Radial Velocity,2009.0,McDonald Observatory,12.4,3963.17,621.99,2.01,1539.71,4137.0,49.0,2.8,2000,Gas giant 6–15,1–10 years,"1,000–5,000 pc",2009
BD+20 274 b,BD+20 274,Radial Velocity,2012.0,McDonald Observatory,13.0,1334.886,578.2,1.3,1322.51,4296.0,17.3,0.8,2010,Gas giant 6–15,1–10 years,"1,000–5,000 pc",2012
BD+20 594 b,BD+20 594,Transit,2016.0,K2,2.57807,22.2481,41.6855,0.241,179.461,5766.0,1.08,1.67,2010,Neptune-like 2–6,10–50 days,100–500 pc,2016
BD+37 3172 b,BD+37 3172,Radial Velocity,2023.0,McDonald Observatory,12.4,3368.9811142,1887.76,4.65,454.251,4500.0,50.24,3.75,2020,Gas giant 6–15,1–10 years,100–500 pc,2023
BD+42 2315 b,BD+42 2315,Radial Velocity,2023.0,McDonald Observatory,14.2,174.80562385,123.05,0.54,610.715,4500.0,17.85,1.38,2020,Gas giant 6–15,50–365 days,"500–1,000 pc",2023
BD+45 564 b,BD+45 564,Radial Velocity,2021.0,Haute-Provence Observatory,13.6,432.24663352,307.88,0.83,53.622,5004.0,0.813064,0.81,2020,Gas giant 6–15,50–365 days,50–100 pc,2021
BD+48 738 b,BD+48 738,Radial Velocity,2011.0,McDonald Observatory,13.9,289.2253,392.6,1.0,871.493,4414.0,11.0,0.74,2010,Gas giant 6–15,1–10 years,"500–1,000 pc",2011
BD+48 740 b,BD+48 740,Radial Velocity,2018.0,Multiple Observatories,13.5,540.311,733.0,1.7,666.589,4534.0,10.33,1.09,2010,Gas giant 6–15,1–10 years,"500–1,000 pc",2018
BD+49 828 b,BD+49 828,Radial Velocity,2015.0,McDonald Observatory,13.5,508.5,2590.0,4.2,442.042,4943.0,7.6,1.52,2010,Gas giant 6–15,1–10 years,100–500 pc,2015
BD+55 362 b,BD+55 362,Radial Velocity,2021.0,Haute-Provence Observatory,14.0,228.83645304,265.59,0.78,52.5697,5012.0,0.896193,0.909,2020,Gas giant 6–15,50–365 days,50–100 pc,2021
BD+60 1417 b,BD+60 1417,Imaging,2021.0,Wide-field Infrared Survey Explorer (WISE) Sat,14.68376472,4767.426105,,1662.0,44.9543,4993.0,0.797,1.0,2020,Gas giant 6–15,Unknown,10–50 pc,2021
BD+63 1405 b,BD+63 1405,Radial Velocity,2021.0,Haute-Provence Observatory,12.4,3305.4154328,1198.48,2.06,38.0473,5000.0,0.804724,0.816,2020,Gas giant 6–15,1–10 years,10–50 pc,2021
BD-06 1339 b,BD-06 1339,Radial Velocity,2013.0,La Silla Observatory,,1523.03372634,3.8728,0.0428,20.2695,4324.0,0.686355,0.7,2010,Unknown,3–10 days,10–50 pc,2013
BD-06 1339 c,BD-06 1339,Radial Velocity,2013.0,La Silla Observatory,8.38,53.0,125.94,0.435,20.2695,4324.0,0.686355,0.7,2010,Gas giant 6–15,50–365 days,10–50 pc,2013
BD-08 2823 b,BD-08 2823,Radial Velocity,2009.0,La Silla Observatory,,2948.49413174,5.6,0.06,41.3342,4816.0,0.71,0.5,2000,Unknown,3–10 days,10–50 pc,2009
BD-08 2823 c,BD-08 2823,Radial Velocity,2009.0,La Silla Observatory,12.5,104.0,237.6,0.68,41.3342,4746.0,0.71,0.74,2000,Gas giant 6–15,50–365 days,10–50 pc,2009
BD-10 3166 b,BD-10 3166,Radial Velocity,2000.0,W. M. Keck Observatory,14.1,187.5197,3.48777,0.04,84.4069,5393.0,0.91,1.47,2000,Gas giant 6–15,3–10 days,50–100 pc,2000
BD-11 4672 b,BD-11 4672,Radial Velocity,2014.0,La Silla Observatory,14.1,206.5895,1634.0,2.36,27.1665,4550.0,0.639,0.651,2010,Gas giant 6–15,1–10 years,10–50 pc,2014
BD-11 4672 c,BD-11 4672,Radial Velocity,2020.0,Roque de los Muchachos Observatory,4.04,15.37,74.2,0.3,27.1665,4550.0,0.639,0.651,2020,Neptune-like 2–6,50–365 days,10–50 pc,2020
BD-13 2130 b,BD-13 2130,Radial Velocity,2007.0,La Silla Observatory,12.5,3108.3774,714.29999,1.66,925.214,4545.0,19.17,2.12,2000,Gas giant 6–15,1–10 years,"500–1,000 pc",2007
BD-14 3065 b,BD-14 3065 A,Transit,2024.0,Transiting Exoplanet Survey Satellite (TESS),21.59,3932.0,4.2889731,0.0656,589.423,6935.0,2.35,1.41,2020,>15 Earth radii,3–10 days,"500–1,000 pc",2024
BD-17 63 b,BD-17 63,Radial Velocity,2008.0,La Silla Observatory,12.8,1639.99458012,655.57,1.34,34.4603,4714.0,0.74,0.741,2000,Gas giant 6–15,1–10 years,10–50 pc,2008
BD-210397 b,BD-210397,Radial Velocity,2023.0,La Silla Observatory,14.0,214.0,1891.0,2.63,23.7324,4051.0,0.747,0.679,2020,Gas giant 6–15,1–10 years,10–50 pc,2023
BD-210397 c,BD-210397,Radial Velocity,2023.0,La Silla Observatory,12.9,1525.5763536,6240.0,5.9,23.7324,4051.0,0.747,0.69,2020,Gas giant 6–15,>10 years,10–50 pc,2023
BEBOP-3 b,BEBOP-3,Radial Velocity,2025.0,Haute-Provence Observatory,14.2,177.34825111,547.0,1.444,119.052,6033.0,1.414,1.083,2020,Gas giant 6–15,1–10 years,100–500 pc,2025
BEBOP-4 AB b,BEBOP-4 A,Radial Velocity,2025.0,Haute-Provence Observatory,,8358.8871041,1823.5,3.634,234.294,5701.43,2.75645,1.507,2020,Unknown,1–10 years,100–500 pc,2025
Barnard b,Barnard's star,Radial Velocity,2024.0,Paranal Observatory,0.72,0.299,3.1542,0.0229,1.82655,3195.0,0.185,0.162,2020,Earth-size 0.5–1.25,3–10 days,<10 pc,2024
Barnard c,Barnard's star,Radial Velocity,2025.0,Gemini Observatory,0.743,0.335,4.1244,0.0274,1.82655,3195.0,0.185,0.162,2020,Earth-size 0.5–1.25,3–10 days,<10 pc,2025
Barnard d,Barnard's star,Radial Velocity,2025.0,Gemini Observatory,0.694,0.263,2.3402,0.0188,1.82655,3195.0,0.185,0.162,2020,Earth-size 0.5–1.25,<3 days,<10 pc,2025
Barnard e,Barnard's star,Radial Velocity,2025.0,Gemini Observatory,0.637,0.193,6.7392,0.0381,1.82655,3195.0,0.185,0.162,2020,Earth-size 0.5–1.25,3–10 days,<10 pc,2025
CD Cet b,CD Cet,Radial Velocity,2020.0,Calar Alto Observatory,1.82,3.95,2.2907,0.0185,8.60715,3130.0,0.175,0.161,2020,Super-Earth 1.25–2,<3 days,<10 pc,2020
CD-35 2722 b,CD-35 2722,Imaging,2011.0,Gemini Observatory,17.37392009,9375.9380065,,67.0,22.3896,3689.0,0.558549,0.4,2010,>15 Earth radii,Unknown,10–50 pc,2011
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,Imaging,2011.0,W. M. Keck Observatory,12.4,3337.1,10037.5,2.6,23.1,580.5,,0.021,2010,Gas giant 6–15,>10 years,10–50 pc,2011
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,Imaging,2020.0,Hubble Space Telescope,20.8487041,2479.0615746,8040000.0,200.0,,2320.0,0.245,0.0147,2020,>15 Earth radii,>10 years,Unknown,2020
CHXR 73 b,CHXR 73,Imaging,2006.0,Hubble Space Telescope,12.3,3994.486,,210.0,190.374,3099.0,,0.35,2000,Gas giant 6–15,Unknown,100–500 pc,2006
CI Tau c,CI Tau,Radial Velocity,2024.0,Multiple Observatories,13.0,1144.1822652,25.2,0.17,157.998,3807.0,1.880857,0.9,2020,Gas giant 6–15,10–50 days,100–500 pc,2024
COCONUTS-2 b,COCONUTS-2 A,Imaging,2021.0,NASA Infrared Telescope Facility (IRTF),12.57647635,2383.7130525,402000000.0,7506.0,10.8864,3552.0,0.366,0.4,2020,Gas giant 6–15,>10 years,10–50 pc,2021
CT Cha b,CT Cha,Imaging,2007.0,Paranal Observatory,24.66,5403.0,,440.0,190.72,4403.0,1.679694,,2000,>15 Earth radii,Unknown,100–500 pc,2007
CWISEP J193518.59-154620.3 b,CWISEP J193518.59-154620.3,Imaging,2025.0,James Webb Space Telescope (JWST),12.2,4926.3403085,,2.48,14.43,,,0.024,2020,Gas giant 6–15,Unknown,10–50 pc,2025
CoRoT-1 b,CoRoT-1,Transit,2008.0,CoRoT,16.7,327.35,1.5089557,0.02752,787.909,5950.0,1.11,0.95,2000,>15 Earth radii,<3 days,"500–1,000 pc",2008
CoRoT-10 b,CoRoT-10,Transit,2010.0,CoRoT,10.87,874.0,13.2406,0.1055,338.386,5075.0,0.79,0.89,2010,Gas giant 6–15,10–50 days,100–500 pc,2010
CoRoT-11 b,CoRoT-11,Transit,2010.0,CoRoT,16.03,740.51,2.99433,0.0436,655.037,6440.0,1.37,1.27,2010,>15 Earth radii,<3 days,"500–1,000 pc",2010
CoRoT-12 b,CoRoT-12,Transit,2010.0,CoRoT,16.14,291.438,2.828042,0.04016,1126.37,5675.0,1.116,1.078,2010,>15 Earth radii,<3 days,"1,000–5,000 pc",2010
CoRoT-13 b,CoRoT-13,Transit,2010.0,CoRoT,9.92,415.704,4.03519,0.051,1148.93,5945.0,1.01,1.09,2010,Gas giant 6–15,3–10 days,"1,000–5,000 pc",2010
CoRoT-14 b,CoRoT-14,Transit,2010.0,CoRoT,12.22,2415.4,1.51214,0.027,1744.6,6035.0,1.21,1.13,2010,Gas giant 6–15,<3 days,"1,000–5,000 pc",2010
CoRoT-16 b,CoRoT-16,Transit,2011.0,CoRoT,13.11,170.032,5.35227,0.0618,732.409,5650.0,1.19,1.098,2010,Gas giant 6–15,3–10 days,"500–1,000 pc",2011
CoRoT-17 b,CoRoT-17,Transit,2011.0,CoRoT,11.43,772.29,3.7681,0.0461,1176.12,5740.0,1.59,1.04,2010,Gas giant 6–15,3–10 days,"1,000–5,000 pc",2011
CoRoT-18 b,CoRoT-18,Transit,2011.0,CoRoT,14.68,1102.82,1.9000693,0.0295,764.889,5440.0,1.0,0.95,2010,Gas giant 6–15,<3 days,"500–1,000 pc",2011
CoRoT-19 b,CoRoT-19,Transit,2011.0,CoRoT,14.46,352.78,3.89713,0.0518,790.663,6090.0,1.65,1.21,2010,Gas giant 6–15,3–10 days,"500–1,000 pc",2011
CoRoT-2 b,CoRoT-2,Transit,2008.0,CoRoT,16.432,1102.82,1.7429935,0.02798,213.283,5625.0,0.906,0.96,2000,>15 Earth radii,<3 days,100–500 pc,2008
CoRoT-20 b,CoRoT-20,Transit,2011.0,CoRoT,9.41556,1366.669,9.24285,0.09,844.061,5880.0,1.02,1.14,2010,Gas giant 6–15,3–10 days,"500–1,000 pc",2011
CoRoT-20 c,CoRoT-20,Radial Velocity,2018.0,Multiple Observatories,12.2,5403.11,1675.0,2.9,844.061,5880.0,1.02,1.14,2010,Gas giant 6–15,1–10 years,"500–1,000 pc",2018
CoRoT-21 b,CoRoT-21,Transit,2012.0,CoRoT,14.5717,718.2958,2.72474,0.0417,1398.83419686,6200.0,1.95,1.29,2010,Gas giant 6–15,<3 days,"1,000–5,000 pc",2012
CoRoT-22 b,CoRoT-22,Transit,2014.0,CoRoT,4.88,12.2,9.75598,0.092,627.158,5939.0,1.136,1.099,2010,Neptune-like 2–6,3–10 days,"500–1,000 pc",2014
CoRoT-23 b,CoRoT-23,Transit,2011.0,CoRoT,11.77,889.9,3.6313,0.048,1060.97,5900.0,1.61,1.14,2010,Gas giant 6–15,3–10 days,"1,000–5,000 pc",2011
CoRoT-24 b,CoRoT-24,Transit,2014.0,CoRoT,3.7,5.7,5.1134,0.056,591.555,4950.0,0.86,0.91,2010,Neptune-like 2–6,3–10 days,"500–1,000 pc",2014
CoRoT-24 c,CoRoT-24,Transit,2014.0,CoRoT,5.0,28.0,11.759,0.098,591.555,4950.0,0.86,0.91,2010,Neptune-like 2–6,10–50 days,"500–1,000 pc",2014
CoRoT-25 b,CoRoT-25,Transit,2013.0,CoRoT,12.11,85.81,4.86069,0.0578,1103.48,6040.0,1.19,1.09,2010,Gas giant 6–15,3–10 days,"1,000–5,000 pc",2013
CoRoT-26 b,CoRoT-26,Transit,2013.0,CoRoT,14.12,165.26,4.20474,0.0526,1045.18,5590.0,1.79,1.09,2010,Gas giant 6–15,3–10 days,"1,000–5,000 pc",2013
CoRoT-27 b,CoRoT-27,Transit,2014.0,CoRoT,11.287,3302.11,3.57532,0.0476,1010.28,5900.0,1.08,1.05,2010,Gas giant 6–15,3–10 days,"1,000–5,000 pc",2014
CoRoT-28 b,CoRoT-28,Transit,2015.0,CoRoT,10.704595,153.82972,5.20851,0.0603,766.183,5150.0,1.78,1.01,2010,Gas giant 6–15,3–10 days,"500–1,000 pc",2015
CoRoT-29 b,CoRoT-29,Transit,2015.0,CoRoT,10.0881,270.1555,2.85057,0.0386,806.507,5260.0,0.9,0.97,2010,Gas giant 6–15,<3 days,"500–1,000 pc",2015
CoRoT-3 b,CoRoT-3,Transit,2008.0,CoRoT,11.32,6883.91,4.2568,0.05783,768.771,6740.0,1.56,1.37,2000,Gas giant 6–15,3–10 days,"500–1,000 pc",2008
CoRoT-30 b,CoRoT-30,Transit,2020.0,CoRoT,11.309881,921.707,9.06005,0.0844,1032.23,5650.0,0.91,0.98,2020,Gas giant 6–15,3–10 days,"1,000–5,000 pc",2020
CoRoT-31 b,CoRoT-31,Transit,2020.0,CoRoT,16.36514,266.9772,4.62941,0.0586,2005.76,5700.0,2.15,1.25,2020,>15 Earth radii,3–10 days,"1,000–5,000 pc",2020
CoRoT-32 b,CoRoT-32,Transit,2018.0,CoRoT,6.38913,47.6745,6.71837,0.071,576.683,5970.0,0.79,1.08,2010,Gas giant 6–15,3–10 days,"500–1,000 pc",2018
CoRoT-35 b,CoRoT-35,Transit,2022.0,CoRoT,18.83108758,349.6112477,3.22748,0.0429,1123.21,6390.0,1.65,1.01,2020,>15 Earth radii,3–10 days,"1,000–5,000 pc",2022
CoRoT-36 b,CoRoT-36,Transit,2022.0,CoRoT,15.80466279,216.12331676,5.616531,0.066,925.958,6730.0,1.52,1.32,2020,>15 Earth radii,3–10 days,"500–1,000 pc",2022
CoRoT-4 b,CoRoT-4,Transit,2008.0,CoRoT,13.34,228.83,9.20205,0.09,726.412,6190.0,1.17,1.16,2000,Gas giant 6–15,3–10 days,"500–1,000 pc",2008
